date,open,high,low,close,volume,amount,turn,pctChg
2021-01-08,5526.2876,5547.4733,5442.6939,5495.4306,20432495600,473567653978.6,0.747483,-0.330565
2021-01-11,5504.2358,5555.6916,5412.5046,5441.1583,23183598300,522298482544.3,0.817218,-0.98759
2021-01-12,5419.4996,5596.3525,5417.6272,5596.3525,22422018600,486233760739.8,0.820091,2.852227
2021-01-13,5609.2637,5644.7195,5535.1435,5577.9711,26156988600,546959736365.5,0.956692,-0.328453
2021-01-14,5556.2125,5568.0179,5458.6818,5470.4563,24368338000,501890111879.0,0.891558,-1.927489
2021-01-15,5471.391,5500.6348,5390.2737,5458.0812,23863743500,475709920372.3,0.873076,-0.226217
2021-01-18,5438.1618,5541.4613,5410.775,5518.5205,20705186900,422717209153.0,0.75752,1.107336
2021-01-19,5525.969,5532.4793,5415.7166,5437.5234,21104342500,433205176449.9,0.771968,-1.467732
2021-01-20,5439.9111,5496.0493,5426.5357,5476.4336,17091326000,373770384496.4,0.625177,0.715587
2021-01-21,5492.9587,5593.1058,5490.5626,5564.9693,20995019700,453183684478.9,0.767342,1.616667
2021-01-22,5562.379,5573.6594,5513.8769,5569.776,19930002000,456622193435.6,0.721999,0.086374
2021-01-25,5564.1237,5655.4795,5543.2663,5625.9232,19704701900,508166980802.0,0.713837,1.008069
2021-01-26,5600.9017,5600.9017,5505.9962,5512.9678,17190459000,415008069865.0,0.622754,-2.007766
2021-01-27,5505.7708,5534.9928,5449.6385,5528.0034,16019084100,376892605839.1,0.580319,0.272732
2021-01-28,5450.3695,5462.2352,5360.3766,5377.1427,17048558500,376166523177.5,0.617612,-2.729027
2021-01-29,5413.9684,5430.2015,5288.0955,5351.9646,18217878400,390287690019.0,0.659955,-0.468243
2021-02-01,5356.8535,5422.299,5342.0458,5417.6484,16631370600,346859083730.0,0.602521,1.227284
2021-02-02,5429.7032,5503.2145,5411.5173,5501.0915,16521056500,380016716111.9,0.597897,1.540209
2021-02-03,5499.2961,5532.8864,5473.1237,5485.2008,18805431700,404343602637.7,0.680283,-0.288864
